deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
9.wav,4.627307,4.5496407,4.528632,4.233586,4.4571004,NISQAv2
0.wav,4.585354,4.2865133,4.5136375,4.01594,4.357506,NISQAv2
4.wav,4.6173377,4.4061966,4.442736,4.232208,4.40322,NISQAv2
1.wav,4.127182,4.437383,4.157149,4.031782,4.106723,NISQAv2
2.wav,3.392549,3.592441,3.974288,3.5049887,4.029476,NISQAv2
6.wav,3.817934,3.794438,4.272844,3.6566107,4.235783,NISQAv2
8.wav,3.8613153,3.988343,4.3777413,3.922384,4.303879,NISQAv2
3.wav,4.3247924,4.354585,4.319347,4.112709,4.303415,NISQAv2
5.wav,2.836534,2.9724293,4.1104445,3.4023385,4.058653,NISQAv2
7.wav,4.684951,4.498423,4.6252823,4.397271,4.4555926,NISQAv2
